MaterialCode,MaterialDescription,Presentation,Retornability,ProductType,Brand,Packaging,Category,Flavor,Container,Size,DetailedSegment,NonCarbonated,BottlesBySKU,BasisMaterialCode,CUEquivalence,ConsumptionOccasion,EAN,ISSCOM
"4801","MONSTER ENERGY GREEN 473ML*6L ","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","GREEN","LATA","INDIVIDUAL","ENERGY",False,6,"3860",0.49979999999999281,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084701235","A497054476"
"17374","MONSTER ENERGY ROSSI 473ML*6L","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","ROSSI","LATA","INDIVIDUAL","ENERGY",False,6,"3866",0.5,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084702751","A9HF054476"
"17386","MONSTER E.U WATERMEL. 473ML*6L","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","SANDIA","LATA","INDIVIDUAL","ENERGY",False,6,"3867",0.5,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084703123","AEQP054476"
"17257","MONSTER E.MANGO LOCO 473ML*6L ","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","MANGO","LATA","INDIVIDUAL","ENERGY",False,6,"3862",0.49980000000000729,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084703475","ACWS054476"
"17296","MONSTER E.ULTRA PARAD 473ML*6L","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","PARADISE","LATA","INDIVIDUAL","ENERGY",False,6,"3864",0.49980000000000624,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084703536","ACQJ054476"
"17312","MONSTER E.ULTRA SUNRI 473ML*6L","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","SUNRISE","LATA","INDIVIDUAL","ENERGY",False,6,"3865",0.49980000000000657,"ENERGIZANTE REGULAR INDIVIDUAL ","1007084703703","A9RI054476"
"17005","MONSTER ENERGY ULTRA 473ML*6L ","MONSTER 473 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","MONSTER","473 ML LATA","CATEGORÍAS EN EXPANSIÓN","ULTRA","LATA","INDIVIDUAL","ENERGY",False,6,"3861",0.49980000000000852,"ENERGIZANTE LOW CAL INDIVIDUAL ","70847032861","AB28054476"
"9967","FANTA NARANJA S/A 10LTS BIB   ","COCA COLA 10000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","10000 ML BIB","REFRESCOS","COLA","BIB","FAMILIAR","SSD",False,1,"1145",11.271295922486852,"GASEOSA REGULAR FAMILIAR ","7790001001054","ABDK03A32W"
"7863","CHOPP HEINEKEN*30LTS          ","COCA COLA 10000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","10000 ML BIB","REFRESCOS","COLA","BIB","FAMILIAR","SSD",False,1,"8755",0.29999999999999999,"GASEOSA REGULAR FAMILIAR ","7790001001054","8511078511"
"7864","CHOPP HEINEKEN*50LTS          ","COCA COLA 10000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","10000 ML BIB","REFRESCOS","COLA","BIB","FAMILIAR","SSD",False,1,"8756",0.5,"GASEOSA REGULAR FAMILIAR ","7790001001054","8511078512"
